,id,screen_name,location,protected,verified,followers_count,friends_count,listed_count,favourites_count,statuses_count,created_at,default_profile,default_profile_image
9033,608961704,rramonfraga,Madrid,False,False,274,587,17,2004,771,Fri Jun 15 10:11:58 +0000 2012,False,False
4405,94124216,teresaalamos,Seville,False,False,454,479,51,1775,1759,Wed Dec 02 16:40:22 +0000 2009,False,False
293,544428346,tonythezio,"Kochi, Kerala, India",False,False,145,1430,1,1245,631,Tue Apr 03 16:57:58 +0000 2012,False,False
10744,237326547,carlos3lomas,Treslomense en Buenos Aires,False,False,138,452,2,2962,1158,Wed Jan 12 15:57:38 +0000 2011,False,False
4039,3679584321,otherjaume,"Barcelona, Espanya",False,False,170,527,11,6533,1130,Wed Sep 16 23:18:38 +0000 2015,False,False
754,154523308,JelteHomminga,"Amsterdam, The Netherlands",False,False,199,604,8,2450,1000,Fri Jun 11 13:19:29 +0000 2010,False,False
7038,608601359,_ionzi_,🌴 || ⛱️,False,False,406,620,34,1368,1699,Thu Jun 14 23:44:21 +0000 2012,False,False
7636,3525970456,reen_tim,"Los Angeles, CA",False,False,241,290,18,517,578,Wed Sep 02 18:33:46 +0000 2015,True,False
6763,3296447297,calzada_marta,,False,False,270,303,0,3494,1403,Sun May 24 11:54:17 +0000 2015,True,False
815,235604917,saragaruiz,Madrid,False,False,89,225,2,389,500,Sat Jan 08 16:40:43 +0000 2011,False,False
11436,294764913,Chakaitos,"Fort Lauderdale, FL",False,False,231,647,7,713,1394,Sat May 07 18:39:42 +0000 2011,False,False
7405,2547538163,ComputerWh1z,"Miami, FL",False,False,97,483,22,13180,1724,Wed May 14 15:04:12 +0000 2014,True,False
8635,2963365588,EdePartners,"New York, NY",False,False,362,1094,39,303,1230,Tue Jan 06 03:27:40 +0000 2015,False,False
7579,3326260779,AmpliativeArt,Worldwide,False,False,416,1298,42,1011,848,Mon Jun 15 05:48:05 +0000 2015,True,False
5267,770977524780118017,poprouser,"Miami, FL",False,False,97,247,9,394,863,Wed Aug 31 13:32:20 +0000 2016,False,False
6544,3077094745,kimbridgeskc,"Kansas City, MO Area",False,False,551,1921,14,2341,1346,Fri Mar 13 15:07:03 +0000 2015,False,False
2460,512760894,Mockingbot,Beijing,False,False,1090,862,12,109,472,Sat Mar 03 04:03:51 +0000 2012,False,False
8246,25054180,JamieCamidge,"Jakarta Capital Region, Indonesia",False,False,487,847,24,692,554,Wed Mar 18 10:36:09 +0000 2009,False,False
2993,21333577,OlavHjertaker,Bergen/Barcelona/Lisboa/Cali,False,False,469,1930,31,1508,1208,Thu Feb 19 20:07:39 +0000 2009,False,False
8378,252260792,jesicamadrid,Quito,False,False,724,952,28,1284,836,Mon Feb 14 20:51:23 +0000 2011,False,False
3418,428273831,LorenaMoncadaes,,False,False,315,220,6,830,1764,Sun Dec 04 15:18:07 +0000 2011,False,False
8624,268904533,itskarlotte,Paris,False,False,332,521,40,879,683,Sat Mar 19 18:18:01 +0000 2011,False,False
6083,335450041,daspccs,,False,False,294,3181,9,6050,1483,Thu Jul 14 18:11:00 +0000 2011,True,False
674,240609645,oliialioli,Madrid - Pamplona,False,False,272,809,2,410,679,Thu Jan 20 09:33:36 +0000 2011,False,False
4528,86023891,BrightMindsUK,"Radstock, Bath, UK",False,False,2240,1843,42,252,1257,Thu Oct 29 08:47:47 +0000 2009,False,False
10289,196465633,katharinemfoley,Milwaukee,False,False,627,2272,15,1236,432,Wed Sep 29 04:43:32 +0000 2010,True,False
11354,245443299,Hernandez_JImmy,Maracay - Venezuela,False,False,297,668,0,61,1740,Mon Jan 31 18:19:32 +0000 2011,False,False
8651,2866492845,HubFuerteventur,"Corralejo, Fuerteventura",False,False,413,457,99,77,777,Fri Nov 07 23:06:42 +0000 2014,False,False
12134,1112107544,MADVentureCafe,"Madrid, España",False,False,445,302,32,352,1014,Tue Jan 22 17:20:08 +0000 2013,False,False
7699,29573862,ali_erbil,"Miami, FL",False,False,82,159,2,58,451,Tue Apr 07 23:13:35 +0000 2009,False,False
585,757276754,LuisMarSac,SEGOVIA - TENERIFE - WORLDWIDE,False,False,1066,4998,12,2753,1337,Tue Aug 14 14:40:11 +0000 2012,False,False
5251,257539539,thegabyzapata,"Madrid, Comunidad de Madrid",False,False,523,607,16,180,923,Fri Feb 25 16:59:18 +0000 2011,False,False
11439,393630262,dustronin,"Coral Springs, Florida",False,False,160,614,8,512,418,Tue Oct 18 20:44:30 +0000 2011,False,False
10708,589254059,xing_esp,España,False,False,1052,436,33,968,1303,Thu May 24 16:41:55 +0000 2012,False,False
4848,220681205,ManuMunozR,Malaga - Madrid - Bangkok,False,False,482,947,28,572,423,Sun Nov 28 14:42:23 +0000 2010,False,False
7108,2923083580,een_bilbao,Bilbao,False,False,99,146,10,97,1589,Mon Dec 15 15:39:18 +0000 2014,False,False
8875,219043435,Fisico0,,False,False,91,427,6,197,524,Tue Nov 23 19:43:27 +0000 2010,False,False
1150,203536237,anatp10,"Seville, Spain",False,False,392,415,1,111,968,Sat Oct 16 14:13:14 +0000 2010,False,False
1631,2331688646,joinverse,"Barcelona, Spain",False,True,4024,1091,90,713,1266,Fri Feb 07 11:01:46 +0000 2014,False,False
2251,311394370,algallegoi,Global,False,False,964,3754,18,1162,1599,Sun Jun 05 11:19:23 +0000 2011,True,False
2882,893892188941299712,gabimitchem,"Bristol, England",False,False,298,657,7,2073,467,Sat Aug 05 17:51:20 +0000 2017,False,False
6133,2810380957,NebbiaTech,"Orlando, FL",False,False,488,596,43,171,1083,Mon Sep 15 00:17:47 +0000 2014,False,False
523,18247201,CarlosBode,Barcelona Spain,False,False,1201,5000,78,351,753,Fri Dec 19 18:09:30 +0000 2008,True,False
8627,2850238735,PBCodeSchool,"Palm Beach Gardens, Florida",False,False,698,1991,67,52,1533,Fri Oct 10 11:32:53 +0000 2014,False,False
5474,3381583611,jurisconsulta20,,False,False,128,362,1,5,844,Sat Jul 18 11:54:16 +0000 2015,False,False
1434,255153580,beatrix_f,Bilbao,False,False,141,528,8,213,491,Sun Feb 20 19:54:08 +0000 2011,False,False
8460,2717303059,Dext_OUATTARA,Côte d'Ivoire,False,False,1165,835,79,125,677,Fri Aug 08 15:01:10 +0000 2014,True,False
7375,3323401803,cs50xMiami,"Miami, FL",False,False,490,122,27,313,441,Sat Jun 13 18:38:31 +0000 2015,False,False
3187,842142954793897984,laTBcn,"Barcelona, España",False,False,1195,886,58,155,712,Wed Mar 15 22:38:21 +0000 2017,False,False
447,806582716758130688,Cfabian_blog,México,False,False,127,737,6,2049,404,Wed Dec 07 19:34:40 +0000 2016,True,False
3566,462401133,dediegus,"Madrid, Comunidad de Madrid",False,False,98,196,9,648,499,Thu Jan 12 22:40:24 +0000 2012,False,False
906,423321579,omar_sv88,La Virgen del Camino (León),False,False,96,193,1,1558,537,Mon Nov 28 10:49:51 +0000 2011,False,False
10701,2719901469,arg_310,,False,False,660,653,1,6224,1568,Mon Jul 21 17:52:54 +0000 2014,False,False
867,2286386236,ZakFoc,,False,False,148,906,0,973,679,Thu Jan 16 18:24:17 +0000 2014,False,False
1007,1613680710,sander_pm,porai,False,False,80,679,1,5594,730,Mon Jul 22 21:35:17 +0000 2013,False,False
10569,111272415,xaviersbanegas,"Miami, FL",False,False,240,969,9,1922,1418,Thu Feb 04 10:34:47 +0000 2010,False,False
1040,2397665445,jorgeruano7,"Community of Madrid, Spain",False,False,711,104,1,3262,1528,Sun Mar 09 20:13:05 +0000 2014,False,False
3076,883736929124184064,MonicaCRey,"Barcelona, Spain",False,False,422,971,13,2694,980,Sat Jul 08 17:17:57 +0000 2017,False,False
1576,88228897,marianita_88,,False,False,778,2080,14,2796,1187,Sat Nov 07 17:26:05 +0000 2009,False,False
3304,1555281926,strangewaysriot,Madrid,False,False,134,712,3,296,1597,Sat Jun 29 09:41:59 +0000 2013,False,False
5045,23762200,silviacalvet,Barcelona,False,False,1753,1628,169,1725,1487,Wed Mar 11 13:29:14 +0000 2009,False,False
6021,711222269184503808,ScratchMalaga,,False,False,524,386,31,362,538,Sat Mar 19 16:06:17 +0000 2016,True,False
12006,589199459,JBofias,"Sabadell, Catalunya",False,False,137,215,0,64,542,Thu May 24 15:24:01 +0000 2012,True,False
5057,972123367,QAWorks_Ltd,United Kingdom,False,False,523,1094,0,122,899,Mon Nov 26 14:58:00 +0000 2012,False,False
9543,3046964601,enric_fuster,,False,False,149,238,20,1154,542,Fri Feb 20 15:06:01 +0000 2015,True,False
7319,435536128,Kimeasthope,Griffin GA,False,False,2096,4915,42,1123,1573,Tue Dec 13 05:09:21 +0000 2011,False,False
11799,17017248,PlanetaJavo,,False,False,313,961,22,316,1093,Tue Oct 28 07:28:15 +0000 2008,False,False
1382,2980135913,josetrivesbarco,,False,False,268,752,27,2383,977,Thu Jan 15 18:08:46 +0000 2015,True,False
10322,311479905,waspfreak,London - UK,False,False,279,657,19,66,1360,Sun Jun 05 14:40:03 +0000 2011,False,False
2155,72026726,vertiknet,Sad Hill,False,False,169,982,0,5330,654,Sun Sep 06 12:42:16 +0000 2009,False,False
8760,1570711999,armand760,FR,False,False,64,200,0,30,1106,Fri Jul 05 14:56:06 +0000 2013,True,False
1370,387265705,Ca_Castellano,Tenerife,False,False,280,278,2,1052,1786,Sat Oct 08 19:05:00 +0000 2011,False,False
1379,361106084,gabriellelrx,Paris,False,False,1860,1271,59,1332,1396,Wed Aug 24 07:54:02 +0000 2011,True,False
1744,195614289,yilis_nataly,,False,False,55,138,0,3,546,Mon Sep 27 04:11:53 +0000 2010,False,False
5595,2682085960,robdombi,"West Midlands, England",False,False,5184,3543,72,2543,1153,Mon Jul 07 04:48:54 +0000 2014,False,False
6310,91193213,JavierSalido,"Miami, FL",False,False,433,794,24,496,1560,Thu Nov 19 21:08:21 +0000 2009,False,False
5331,301295981,Gorkuelo,,False,False,590,1440,18,337,721,Thu May 19 07:04:23 +0000 2011,True,False
6890,3292151866,TamboWorks,5790 Sunset Dr. South Miami,False,False,289,301,53,148,484,Wed May 20 23:31:07 +0000 2015,True,False
953,1587853279,roosimgi,United States,False,False,250,285,17,899,475,Fri Jul 12 07:11:27 +0000 2013,True,False
2865,260174421,joseiacedo,Made in Malaga,False,False,172,355,8,2529,1100,Thu Mar 03 10:33:56 +0000 2011,False,False
6036,2413035152,solorocas,Arequipa city,False,False,32,92,0,141,579,Wed Mar 26 19:27:12 +0000 2014,False,False
